Wed Dec 13 18:38:27 +0000 2017	941014469802627077	16h40 - Trânsito acentuado nos dois sentidos da Av. Ipiranga, próx. a PUC.
Wed Dec 13 18:20:12 +0000 2017	941009877899661312	16h17 - Acidente entre duas motos no sentido centro/bairro do Túnel da Conceição. EPTC e SAMU no local. Faixa da esquerda bloqueada.
Wed Dec 13 17:58:48 +0000 2017	941004492534960128	15h59 - Trânsito acentuado nos dois sentidos da Av. Carlos Gomes x Campos Sales.
Wed Dec 13 17:54:36 +0000 2017	941003434748272640	RT @Prefeitura_POA: @gmpoaoficial @EPTC_POA Em duas horas de trabalho, 51 veículos foram abordados, dos quais 15 recolhidos para o depósito…
Wed Dec 13 17:25:08 +0000 2017	940996017171894272	15h25 - Trânsito acentuado nos dois sentidos da Av. da Legalidade e da Democracia.
Wed Dec 13 17:20:53 +0000 2017	940994947926421505	15h20 - Operação Efeito Doppler flagra veículo a 129km/h na Edvaldo Pereira Paiva. ; Veículos abordados: 52 ; Veículos… https://t.co/6YFawMpReL
Wed Dec 13 17:00:29 +0000 2017	940989814391885824	15h00 - Semáforo com problemas no cruzamento da Av. Protásio Alves x São Vicente.
Wed Dec 13 16:30:48 +0000 2017	940982344407805953	14h30 - Trânsito acentuado no sentido centro/bairro da Av. Independência x Ramiro Barcelos.
Wed Dec 13 16:02:18 +0000 2017	940975173435609088	14h02 - Caminhão em pane mecânica no sentido centro/bairro da Av. Nonoai, próx. a Campos Velho. Agentes da EPTC ori… https://t.co/3sWWYiMTdb
Wed Dec 13 15:57:25 +0000 2017	940973945993531392	Caminhão já foi retirado, via liberada.
Wed Dec 13 15:52:33 +0000 2017	940972719251820544	13h49 - Caminhão em pane mecânica na chegada à Capital pela Av. da Legalidade e da Democracia. Trânsito acentuado. https://t.co/SlN07hHrIJ
Wed Dec 13 15:17:47 +0000 2017	940963971397537793	13h38 - Trânsito lento no sentido centro/bairro no Túnel da Conceição.
Wed Dec 13 14:52:44 +0000 2017	940957668461694977	12h52 - Trânsito fluindo bem entre as avenidas Plínio Brasil Milano e Assis Brasil, sentido centro-bairro.
Wed Dec 13 14:33:55 +0000 2017	940952931393789952	12h33 - Trânsito acentuado no cruzamento das avenidas Ipiranga e Érico Veríssimo, sentido centro-bairro.
Wed Dec 13 14:09:47 +0000 2017	940946858662400000	12h09 - Trânsito fluindo bem no cruzamento das avenidas Cavalhada e Otto Niemeyer, sentido centro-bairro.
Wed Dec 13 13:53:02 +0000 2017	940942643852390401	11h52 - Trânsito acentuado no cruzamento da Av. Sertório (sentido centro-bairro) com a R. Souza Reis (sentido sul-norte).
Wed Dec 13 13:31:13 +0000 2017	940937153974071296	Linhas de ônibus ligarão a Lomba do Pinheiro e a Restinga ao Lami: trechos entram em operação para facilitar a cheg… https://t.co/M4KMeEKewr
Wed Dec 13 13:23:31 +0000 2017	940935216037842944	RT @Trensurb: #TrensurbInforma Trens e aeromóvel seguem operando normalmente.
Wed Dec 13 13:14:21 +0000 2017	940932909493518336	Itinerário atualizado da linha 525 - Rio Branco/Anita/Iguatemi: https://t.co/j5YFWKssUI
Wed Dec 13 12:54:33 +0000 2017	940927926069063680	@JunnyorCapela
Wed Dec 13 12:53:57 +0000 2017	940927775485112320	10h53 - Direto das câmeras da EPTC: via liberada. Trânsito ainda é lento na saída de Porto Alegre pela Av. da Legal… https://t.co/3ANEE5lJ1h
Wed Dec 13 12:50:34 +0000 2017	940926923190005763	@JunnyorCapela Bom dia, Júnnyor! Um acidente bloqueia uma faixa da Av. da Legalidade e da Democracia, sentido Capital-interior.
Wed Dec 13 12:48:40 +0000 2017	940926442468233218	10h48 - Trânsito acentuado no cruzamento da Av. João Pessoa com a Av. Ipiranga, sentido bairro-centro.
Wed Dec 13 12:28:30 +0000 2017	940921366982856704	@livia_maarques
